created_at,id,id_str,full_text,truncated,display_text_range,entities,extended_entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang
2020-01-31 20:36:25+00:00,1223344303193427968,1223344303193427968,"Due to #coronavirus, we are receiving an increased demand for respirators &amp; increased volume of inquiries. Please visit these links for more information:
•Respiratory Protection FAQ: General Public: https://t.co/SOnnmXs8G9
•Our response to coronavirus: https://t.co/WfosRElrP4 https://t.co/j9ZhpEZb3P",False,"[0, 280]","{'hashtags': [{'text': 'coronavirus', 'indices': [7, 19]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SOnnmXs8G9', 'expanded_url': 'http://bit.ly/37HQYzk', 'display_url': 'bit.ly/37HQYzk', 'indices': [203, 226]}, {'url': 'https://t.co/WfosRElrP4', 'expanded_url': 'http://bit.ly/36N8qBf', 'display_url': 'bit.ly/36N8qBf', 'indices': [257, 280]}], 'media': [{'id': 1223344299745710086, 'id_str': '1223344299745710086', 'indices': [281, 304], 'media_url': 'http://pbs.twimg.com/media/EPoxKLhXkAYFWXz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EPoxKLhXkAYFWXz.jpg', 'url': 'https://t.co/j9ZhpEZb3P', 'display_url': 'pic.twitter.com/j9ZhpEZb3P', 'expanded_url': 'https://twitter.com/3M/status/1223344303193427968/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1000, 'h': 1000, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1000, 'h': 1000, 'resize': 'fit'}}}]}","{'media': [{'id': 1223344299745710086, 'id_str': '1223344299745710086', 'indices': [281, 304], 'media_url': 'http://pbs.twimg.com/media/EPoxKLhXkAYFWXz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EPoxKLhXkAYFWXz.jpg', 'url': 'https://t.co/j9ZhpEZb3P', 'display_url': 'pic.twitter.com/j9ZhpEZb3P', 'expanded_url': 'https://twitter.com/3M/status/1223344303193427968/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1000, 'h': 1000, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1000, 'h': 1000, 'resize': 'fit'}}}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 378197959, 'id_str': '378197959', 'name': '3M', 'screen_name': '3M', 'location': 'St Paul, MN', 'description': 'Here, we innovate with purpose & use #science every day to create real impact in every life around the world. #LifeWith3M', 'url': 'http://t.co/kRd2k9CCzD', 'entities': {'url': {'urls': [{'url': 'http://t.co/kRd2k9CCzD', 'expanded_url': 'http://www.3M.com', 'display_url': '3M.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1422186, 'friends_count': 5006, 'listed_count': 1153, 'created_at': 'Thu Sep 22 20:12:19 +0000 2011', 'favourites_count': 19542, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 10264, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'ABB8C2', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/723375867582287873/mfa49ac6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/723375867582287873/mfa49ac6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/378197959/1571777196', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,86,136,False,False,False,en
2020-02-28 22:52:57+00:00,1233525525446086658,1233525525446086658,".@CNBC reporter @seemacnbc goes behind-the-scenes at the 3M Aberdeen, SD factory. 3Mers are working around the clock to help address the demand for respirators due to the #coronavirus. Watch here: https://t.co/AmpznaMHZd https://t.co/rnHegDlVF8",False,"[0, 220]","{'hashtags': [{'text': 'coronavirus', 'indices': [171, 183]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CNBC', 'name': 'CNBC', 'id': 20402945, 'id_str': '20402945', 'indices': [1, 6]}, {'screen_name': 'seemacnbc', 'name': 'Seema Mody', 'id': 61292961, 'id_str': '61292961', 'indices': [16, 26]}], 'urls': [{'url': 'https://t.co/AmpznaMHZd', 'expanded_url': 'https://www.cnbc.com/video/2020/02/28/face-mask-shortage-sparks-global-race-to-fulfill-orders.html', 'display_url': 'cnbc.com/video/2020/02/…', 'indices': [197, 220]}], 'media': [{'id': 1233525214874656769, 'id_str': '1233525214874656769', 'indices': [221, 244], 'media_url': 'http://pbs.twimg.com/media/ER5cpb4XYAEOUOr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ER5cpb4XYAEOUOr.jpg', 'url': 'https://t.co/rnHegDlVF8', 'display_url': 'pic.twitter.com/rnHegDlVF8', 'expanded_url': 'https://twitter.com/3M/status/1233525525446086658/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1252, 'h': 694, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 665, 'resize': 'fit'}, 'small': {'w': 680, 'h': 377, 'resize': 'fit'}}}]}","{'media': [{'id': 1233525214874656769, 'id_str': '1233525214874656769', 'indices': [221, 244], 'media_url': 'http://pbs.twimg.com/media/ER5cpb4XYAEOUOr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ER5cpb4XYAEOUOr.jpg', 'url': 'https://t.co/rnHegDlVF8', 'display_url': 'pic.twitter.com/rnHegDlVF8', 'expanded_url': 'https://twitter.com/3M/status/1233525525446086658/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1252, 'h': 694, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 665, 'resize': 'fit'}, 'small': {'w': 680, 'h': 377, 'resize': 'fit'}}}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 378197959, 'id_str': '378197959', 'name': '3M', 'screen_name': '3M', 'location': 'St Paul, MN', 'description': 'Here, we innovate with purpose & use #science every day to create real impact in every life around the world. #LifeWith3M', 'url': 'http://t.co/kRd2k9CCzD', 'entities': {'url': {'urls': [{'url': 'http://t.co/kRd2k9CCzD', 'expanded_url': 'http://www.3M.com', 'display_url': '3M.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1422186, 'friends_count': 5006, 'listed_count': 1153, 'created_at': 'Thu Sep 22 20:12:19 +0000 2011', 'favourites_count': 19542, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 10264, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'ABB8C2', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/723375867582287873/mfa49ac6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/723375867582287873/mfa49ac6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/378197959/1571777196', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,21,58,False,False,False,en
2020-03-02 23:38:05+00:00,1234624044760227840,1234624044760227840,We are grateful for the efforts of 3M employees around the world who are working hard in response to the #coronavirus to increase production of needed supplies that help protect people. https://t.co/30OW3kDa6u https://t.co/drheiPmXAA,False,"[0, 209]","{'hashtags': [{'text': 'coronavirus', 'indices': [105, 117]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/30OW3kDa6u', 'expanded_url': 'https://cnb.cx/2uR9nf0', 'display_url': 'cnb.cx/2uR9nf0', 'indices': [186, 209]}], 'media': [{'id': 1234624040750501888, 'id_str': '1234624040750501888', 'indices': [210, 233], 'media_url': 'http://pbs.twimg.com/media/ESJEBhQXUAAOgwy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ESJEBhQXUAAOgwy.jpg', 'url': 'https://t.co/drheiPmXAA', 'display_url': 'pic.twitter.com/drheiPmXAA', 'expanded_url': 'https://twitter.com/3M/status/1234624044760227840/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1254, 'h': 704, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}}]}","{'media': [{'id': 1234624040750501888, 'id_str': '1234624040750501888', 'indices': [210, 233], 'media_url': 'http://pbs.twimg.com/media/ESJEBhQXUAAOgwy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ESJEBhQXUAAOgwy.jpg', 'url': 'https://t.co/drheiPmXAA', 'display_url': 'pic.twitter.com/drheiPmXAA', 'expanded_url': 'https://twitter.com/3M/status/1234624044760227840/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1254, 'h': 704, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}}]}","<a href=""https://www.spredfast.com/"" rel=""nofollow"">Khoros</a>",,,,,,"{'id': 378197959, 'id_str': '378197959', 'name': '3M', 'screen_name': '3M', 'location': 'St Paul, MN', 'description': 'Here, we innovate with purpose & use #science every day to create real impact in every life around the world. #LifeWith3M', 'url': 'http://t.co/kRd2k9CCzD', 'entities': {'url': {'urls': [{'url': 'http://t.co/kRd2k9CCzD', 'expanded_url': 'http://www.3M.com', 'display_url': '3M.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1422186, 'friends_count': 5006, 'listed_count': 1153, 'created_at': 'Thu Sep 22 20:12:19 +0000 2011', 'favourites_count': 19542, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 10264, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'ABB8C2', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/723375867582287873/mfa49ac6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/723375867582287873/mfa49ac6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/378197959/1571777196', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,11,59,False,False,False,en
