;n_text;n_hashtags;n_total;Open;High;Low;Close;Adj Close;Volume
n_text;1.0;0.3809442520756252;0.881412385142312;-0.1353631678607579;-0.1301251616575728;-0.14113562781874264;-0.13514119702720048;-0.1381401223713554;0.1762923640136732
n_hashtags;0.3809442520756252;1.0;0.772500585088453;-0.24757179604461305;-0.2403415671065448;-0.2576632509846049;-0.2456465073978216;-0.24533313757156555;0.3134153499736331
n_total;0.881412385142312;0.772500585088453;1.0;-0.2194439562094332;-0.21215280005033677;-0.2285638841366767;-0.21830793821777733;-0.22020750997641494;0.2811915000227521
Open;-0.1353631678607579;-0.24757179604461305;-0.2194439562094332;1.0;0.9976852331373236;0.9964780284729414;0.9936887302847314;0.9880832863365278;-0.4130873979167464
High;-0.1301251616575728;-0.2403415671065448;-0.21215280005033677;0.9976852331373236;1.0;0.9959938699081782;0.996789200213939;0.9906840789574732;-0.3996870194896641
Low;-0.14113562781874264;-0.2576632509846049;-0.2285638841366767;0.9964780284729414;0.9959938699081782;1.0;0.9973108848341853;0.993228450177756;-0.4515696327888559
Close;-0.13514119702720048;-0.2456465073978216;-0.21830793821777733;0.9936887302847314;0.996789200213939;0.9973108848341853;1.0;0.9953580057773085;-0.4320210719261963
Adj Close;-0.1381401223713554;-0.24533313757156555;-0.22020750997641494;0.9880832863365278;0.9906840789574732;0.993228450177756;0.9953580057773085;1.0;-0.4467331706467805
Volume;0.1762923640136732;0.3134153499736331;0.2811915000227521;-0.4130873979167464;-0.3996870194896641;-0.4515696327888559;-0.4320210719261963;-0.4467331706467805;1.0
