;n_text;n_hashtags;n_total;Open;High;Low;Close;Adj Close;Volume
n_text;1.0;0.3147136329847586;0.9139579900944412;-0.035106042434956804;-0.029805243087411348;-0.03423690761473387;-0.029976900662147275;-0.028325364133325297;0.07608207598750508
n_hashtags;0.3147136329847586;1.0;0.6728233537669426;-0.160765339992078;-0.15315936782472056;-0.16802233660208693;-0.1588520409528975;-0.1543239345399546;0.30735743473029986
n_total;0.9139579900944412;0.6728233537669426;1.0;-0.09609443163619397;-0.08871114344663834;-0.09851962844818342;-0.09127874139654925;-0.08805560567795287;0.19070444527385844
Open;-0.035106042434956804;-0.160765339992078;-0.09609443163619397;1.0;0.9981654173040533;0.9969139651634614;0.9945045110503747;0.9894813796418847;-0.2384190671921805
High;-0.029805243087411348;-0.15315936782472056;-0.08871114344663834;0.9981654173040533;1.0;0.9967798888656926;0.9971802319289252;0.9919919611572228;-0.2275704740701666
Low;-0.03423690761473387;-0.16802233660208693;-0.09851962844818342;0.9969139651634614;0.9967798888656926;1.0;0.997870491387378;0.9939848730492309;-0.27459846380021957
Close;-0.029976900662147275;-0.1588520409528975;-0.09127874139654925;0.9945045110503747;0.9971802319289252;0.997870491387378;1.0;0.995861590249519;-0.25881360664920516
Adj Close;-0.028325364133325297;-0.1543239345399546;-0.08805560567795287;0.9894813796418847;0.9919919611572228;0.9939848730492309;0.995861590249519;1.0;-0.2715394381883148
Volume;0.07608207598750508;0.30735743473029986;0.19070444527385844;-0.2384190671921805;-0.2275704740701666;-0.27459846380021957;-0.25881360664920516;-0.2715394381883148;1.0
